index	sample_fp	plate	well	tile	round
40971	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-039__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	39	1
40972	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-039__Channel_DAPI,GFP.nd2	1	B2	39	2
40973	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-039__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	39	3
40974	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-040__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	40	1
40975	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-040__Channel_DAPI,GFP.nd2	1	B2	40	2
40976	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-040__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	40	3
40977	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-041__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	41	1
40978	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-041__Channel_DAPI,GFP.nd2	1	B2	41	2
40979	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-041__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	41	3
40980	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-042__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	42	1
40981	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-042__Channel_DAPI,GFP.nd2	1	B2	42	2
40982	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-042__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	42	3
40983	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-043__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	43	1
40984	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-043__Channel_DAPI,GFP.nd2	1	B2	43	2
40985	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-043__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	43	3
40986	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-044__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	44	1
40987	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-044__Channel_DAPI,GFP.nd2	1	B2	44	2
40988	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-044__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	44	3
40989	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-045__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	45	1
40990	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-045__Channel_DAPI,GFP.nd2	1	B2	45	2
40991	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-045__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	45	3
40992	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-046__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	46	1
40993	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-046__Channel_DAPI,GFP.nd2	1	B2	46	2
40994	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-046__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	46	3
40995	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-047__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	47	1
40996	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-047__Channel_DAPI,GFP.nd2	1	B2	47	2
